X,Y
1069,726
1069,726
1069,726
1069,726
1069,726
1069,726
1069,726
1069,726
1069,726
1069,726
1069,727
1069,726
1069,726
1069,726
1069,726
1069,726
1069,726
1069,726
1069,726
1069,726
1069,726
1069,726
1069,726
1069,726
1069,726
1069,726
1069,726
1069,726
1069,726
1069,726
1069,726
1069,726
1069,726
1069,726
1069,726
1069,726
1069,726
1069,726
1069,726
1069,726
1069,726
1069,726
1069,726
1069,726
1069,726
1069,726
1069,726
1069,726
1069,726
1069,726
1069,726
1069,726
1069,726
1069,726
1069,726
1069,726
1069,726
1069,726
1069,726
1069,726
1069,726
1069,726
1069,726
1286,216
1286,216
1286,216
1286,216
1286,216
1286,216
1286,215
1285,215
1285,215
1285,215
1284,214
1297,1009
1272,995
1247,962
1192,905
1165,875
892,652
858,624
1051,772
1015,746
974,721
948,708
921,686
951,702
999,717
1051,725
1084,725
1139,720
1187,704
1217,691
1257,668
1283,647
1297,635
1309,622
1392,515
1350,464
1304,426
1273,407
1224,387
1243,678
1259,667
1281,650
1300,631
1079,430
1029,497
1332,592
1334,588
964,369
918,364
888,364
886,664
890,666
891,653
891,653
897,671
891,653
893,668
886,664
880,659
1429,920
1485,918
1499,906
1506,879
1503,829
1500,796
1497,751
1490,703
1486,675
1482,638
1476,603
1473,583
1469,556
1467,541
1463,522
1461,511
1457,495
1455,489
1436,715
1436,746
1437,779
1425,817
1439,901
1436,935
1430,958
1391,966
1357,956
1316,942
1242,919
1201,904
802,563
814,583
834,611
849,631
861,642
875,655
886,663
891,652
903,676
911,669
918,685
928,690
938,696
947,399
1000,406
1052,417
1066,437
1141,448
1446,890
1497,897
1446,890
1371,866
1363,532
1368,518
1368,518
1366,523
1360,541
1346,568
1022,636
991,600
985,574
965,557
810,577
592,397
794,544
786,525
780,505
778,492
774,471
772,456
771,448
771,440
771,440
771,444
772,457
774,476
1547,815
1587,783
1636,729
1665,666
1672,622
1667,558
1647,501
1631,467
1597,419
1572,391
1548,369
1497,334
1469,321
1443,310
1390,298
1362,296
1335,296
1324,603
1318,610
1242,332
1304,627
1099,725
1075,726
1039,725
991,716
958,704
901,674
850,628
827,602
826,879
888,837
926,808
982,763
1032,716
1061,684
1274,656
1304,627
1320,608
1339,581
1351,558
1358,544
1365,526
1370,514
1371,507
1373,500
1374,498
1374,499
1372,503
1370,511
1368,519
1362,535
1354,553
1038,1018
1178,709
1184,707
1180,708
1167,713
1139,719
1116,723
1079,726
1036,723
989,696
964,707
925,689
902,674
872,652
786,524
785,521
786,524
787,530
790,536
795,547
801,561
805,571
817,589
828,606
838,618
853,635
869,651
1405,939
1445,923
1496,893
1544,861
1568,836
1592,794
1607,746
1613,714
1620,667
1625,623
1627,595
1631,555
1634,522
1636,502
1638,471
1641,452
1642,438
1647,417
1686,531
1674,555
1653,596
1624,640
1603,673
1567,725
1523,781
1491,820
1438,881
1353,968
1298,999
1239,1028
1109,1057
1086,726
1083,727
1057,726
1030,724
771,411
774,396
779,372
781,359
784,351
788,339
789,335
789,335
789,335
789,335
789,335
790,332
542,459
785,347
779,366
775,396
772,430
773,468
781,506
790,533
1277,1011
1341,996
1455,958
1480,921
1534,852
1568,774
1582,722
1595,647
1598,579
1597,538
1592,479
1587,444
1580,411
1566,358
1558,333
1550,312
1534,277
1413,293
1407,310
1396,347
1392,369
1386,392
1378,440
1375,475
1369,512
1361,566
1350,625
1339,669
1318,740
1286,816
1258,868
1209,945
1109,1037
1068,1055
1069,726
884,661
865,646
857,328
864,312
871,301
884,283
892,275
899,269
913,262
921,261
929,262
943,267
952,274
960,281
976,300
985,313
1065,431
1123,463
1164,488
1209,511
1242,527
1296,554
1352,584
1389,606
1447,645
1499,690
1530,723
1026,584
1011,567
1274,656
985,538
957,523
1133,721
924,476
1042,724
994,716
952,702
928,690
897,672
731,428
858,638
771,434
772,432
771,436
771,445
771,457
776,484
