X,Y
917,614
1110,445
925,605
1135,456
934,595
1160,470
959,570
1209,505
974,551
1230,524
1243,545
987,530
1235,594
1006,484
1212,618
1010,466
1182,639
1012,453
1116,670
1015,441
1082,683
1016,442
1047,694
1015,447
974,719
1009,474
937,730
1001,491
900,742
991,513
828,768
957,558
790,783
932,583
720,817
871,624
687,837
833,641
657,855
791,653
629,871
743,657
587,876
633,639
571,859
584,617
556,835
546,590
527,777
495,530
515,749
482,502
502,722
479,479
474,672
461,650
447,628
416,590
400,577
997,574
1246,574
1237,606
990,584
1206,673
971,602
1185,709
961,610
1159,744
951,617
1092,810
934,628
740,679
541,542
765,687
551,571
791,693
565,604
838,694
598,675
620,714
857,692
642,754
870,690
696,835
880,689
731,874
875,690
981,637
971,394
965,642
962,399
925,665
943,423
900,674
932,434
875,682
925,445
819,693
914,472
789,694
911,487
819,707
582,679
819,707
582,679
827,707
610,601
825,708
628,567
819,708
648,537
799,709
698,490
785,710
724,477
631,670
736,456
613,652
749,458
578,611
765,464
563,591
771,472
551,572
775,484
542,537
779,511
831,578
1060,506
844,577
1065,483
870,581
1068,444
885,583
1068,427
900,587
1068,414
945,604
1062,392
945,604
1062,392
671,658
434,628
685,666
456,603
697,673
486,587
713,685
550,539
720,688
578,513
725,688
602,489
733,690
661,463
735,689
692,456
737,689
723,453
882,713
696,565
820,719
670,535
762,706
638,505
711,684
602,478
688,670
588,470
665,655
613,612
599,597
576,571
565,558
556,544
1114,779
1034,555
1150,763
1035,552
1184,742
1035,552
1238,690
1029,565
1254,660
1024,575
1259,629
1018,586
1005,602
1249,568
627,640
621,634
617,627
606,610
600,600
592,589
342,601
577,562
742,888
652,672
800,926
720,708
826,940
761,717
847,947
807,719
886,929
895,697
905,907
929,675
927,879
958,649
971,828
1002,595
958,634
1185,539
918,663
1138,560
918,663
1138,560
873,684
1094,588
850,691
1074,606
823,697
1052,625
764,697
1003,669
977,694
737,693
761,696
531,624
748,697
533,587
719,690
555,526
705,684
567,498
692,676
583,473
642,641
619,416
642,641
619,416
628,629
632,404
606,604
659,386
820,907
905,691
798,834
956,662
792,796
974,648
789,757
990,635
779,682
1008,612
774,646
1011,604
771,613
1013,600
1014,598
775,553
1012,602
781,527
1009,607
789,503
825,886
929,677
783,862
929,680
705,807
909,690
669,780
891,698
636,754
870,706
818,718
578,705
788,719
550,682
758,718
523,663
559,654
602,678
623,691
646,704
685,738
538,552
702,757
544,575
720,779
556,601
761,830
600,651
782,856
629,671
1032,888
873,711
979,868
787,725
945,856
746,722
911,847
709,716
841,831
646,691
806,828
620,676
769,827
597,659
692,823
562,622
651,823
550,607
839,809
984,623
780,751
982,625
752,721
974,631
727,692
962,643
932,672
692,639
913,687
682,613
890,700
674,591
831,721
655,555
799,726
645,540
632,945
679,719
666,953
716,729
703,956
756,731
785,949
831,722
827,941
863,712
868,929
889,698
951,904
927,671
993,888
939,658
1034,869
949,648
1108,823
959,635
849,670
638,549
890,655
690,515
907,644
712,499
925,633
731,483
957,605
765,453
970,589
777,436
981,573
788,419
998,544
805,390
1003,530
811,373
1006,518
816,359
1009,503
821,340
1008,497
822,331
1007,493
823,324
1005,494
826,319
543,514
548,525
552,535
556,545
571,566
582,577
594,590
621,611
635,621
990,649
1016,408
972,660
1019,423
951,672
1019,440
911,701
1012,484
891,718
1006,508
871,735
996,533
832,778
966,584
814,801
946,607
796,826
921,629
761,877
853,665
749,897
810,676
297,549
281,554
287,557
531,524
298,558
542,547
582,595
343,571
976,574
955,328
970,581
946,335
962,590
937,345
943,613
920,368
930,625
912,381
915,638
904,395
873,663
886,422
846,673
875,435
815,683
864,448
751,689
846,471
719,686
839,481
769,698
534,651
787,697
557,622
818,692
608,571
834,687
635,547
848,682
662,525
875,671
715,487
887,664
742,469
899,657
767,453
1176,671
935,632
1176,671
935,632
1171,709
943,625
1156,746
951,617
1093,803
965,602
1052,821
968,599
1009,832
969,601
398,595
387,580
364,559
357,555
1027,794
802,715
1051,762
818,714
854,706
1094,701
874,699
1113,673
898,687
1134,646
939,662
1172,598
955,650
1188,580
982,620
1216,548
993,605
1229,535
1004,590
1242,525
1013,575
1253,518
1024,547
1269,509
359,619
593,613
571,582
330,572
318,563
339,548
561,567
553,551
550,527
555,516
558,507
1030,858
856,699
1063,842
884,688
1120,807
938,654
1140,787
959,632
1157,766
976,609
1185,719
1004,561
1196,696
1013,539
1204,675
1018,521
799,936
787,710
693,918
781,710
645,896
772,710
604,869
762,709
530,811
730,702
498,780
710,694
465,751
686,686
408,699
637,661
384,677
614,646
365,654
595,626
332,613
563,580
319,596
549,555
1026,880
899,684
1063,850
895,685
1118,776
899,683
1136,735
904,678
1148,696
910,673
927,661
1165,623
939,653
1171,589
951,645
1175,558
968,629
1176,504
974,621
1174,482
1213,511
997,400
1224,501
997,415
1232,491
996,433
1229,474
986,472
977,492
1219,469
966,511
1204,466
942,546
1170,468
930,561
1152,472
915,577
1132,480
874,624
934,398
847,633
970,437
835,636
987,461
823,638
1001,489
805,642
1022,559
800,643
1028,597
798,642
1030,638
1023,721
805,639
1010,763
815,636
1117,581
1017,367
1127,590
1019,380
1137,602
1021,397
1156,628
1021,437
1164,645
1018,462
1170,662
1012,490
1172,690
985,551
1166,701
965,582
1152,709
942,610
1105,720
886,647
768,600
993,557
810,655
1005,540
835,681
1008,537
859,708
1007,538
914,762
996,553
944,787
985,567
974,809
968,585
1028,822
910,629
1039,801
873,646
1038,768
840,653
1014,697
790,655
996,663
768,653
746,648
974,629
891,813
764,657
822,822
698,636
892,840
764,657
923,847
801,660
950,852
841,658
991,839
918,628
1005,823
948,607
1019,804
972,584
1048,755
1006,534
1064,730
1020,508
1080,705
1030,484
1106,661
1039,442
1118,641
1041,424
1129,624
1040,410
382,570
584,461
401,620
583,498
413,645
591,521
425,669
602,544
463,715
638,588
486,738
658,607
513,762
680,625
580,804
729,647
620,823
754,653
666,839
780,655
761,863
822,653
811,870
837,652
862,871
850,651
960,853
869,649
367,545
361,528
500,769
503,562
591,1070
500,769
503,562
590,1070
448,727
467,526
577,1070
421,704
462,506
590,1068
396,681
345,641
357,637
595,1071
323,629
582,1072
585,1071
589,1072
585,1073
579,1073
579,1073
537,633
565,621
591,608
640,584
604,1075
662,572
471,518
681,562
480,525
506,563
717,549
530,584
737,547
555,602
757,545
605,624
797,542
630,628
820,541
654,628
843,540
607,1075
700,623
893,544
706,610
887,508
666,588
869,544
647,579
856,565
838,583
629,571
795,617
592,561
772,630
574,558
747,640
554,558
696,650
508,561
670,651
488,567
645,649
464,581
600,634
580,621
560,605
518,564
313,639
507,540
324,645
364,645
390,636
401,642
427,650
454,662
510,691
536,706
562,721
509,531
613,754
525,568
637,771
541,588
661,791
563,609
709,830
625,643
731,847
663,654
748,857
706,659
775,841
789,639
787,821
819,620
802,799
844,600
834,752
881,554
851,730
894,531
606,826
635,627
532,787
664,635
506,753
671,636
484,716
672,637
455,641
662,634
653,629
451,613
641,624
612,612
597,603
584,594
639,1075
559,573
549,564
539,555
527,538
525,530
651,1075
523,525
521,514
517,519
524,506
971,1065
1125,1068
912,1058
974,1047
472,1049
971,1062
1125,1068
913,1057
473,1049
971,1062
1125,1067
913,1057
473,1049
1125,1068
973,1062
971,1044
911,1055
473,1046
1123,1066
970,1061
968,1044
910,1055
471,1046
968,1063
1121,1066
966,1043
907,1054
466,1042
1120,1068
964,1061
904,1054
964,1042
462,1041
962,1063
1118,1066
1017,1054
903,1054
966,1044
460,1042
964,1062
1118,1064
967,1042
904,1054
462,1041
966,1059
1120,1065
966,1042
905,1054
464,1040
1121,1067
967,1060
966,1043
906,1053
464,1040
420,568
