X,Y
839,428
716,135
839,428
716,135
839,428
716,135
839,428
716,135
839,428
716,135
839,428
716,135
839,428
716,135
839,428
716,135
839,428
716,135
839,428
716,135
839,428
716,135
839,428
716,135
839,428
716,135
839,428
716,135
839,428
716,135
839,428
716,135
839,428
716,135
839,428
716,135
839,428
716,135
839,428
716,135
839,428
716,135
839,428
716,135
839,428
716,135
839,428
716,135
839,428
716,135
839,428
716,135
730,396
739,79
707,392
741,76
483,479
701,258
469,497
707,299
459,524
737,388
648,586
954,558
692,602
996,565
1053,765
1214,506
1184,800
1225,499
1454,585
1149,542
1155,540
1457,464
1238,488
1370,212
1268,459
1326,158
1319,386
1210,96
1325,372
1177,96
1342,327
1056,215
1342,327
1044,245
1015,260
1011,252
1030,548
1306,408
1034,600
1292,430
1039,652
1274,453
1112,640
839,506
1112,640
839,506
714,328
1009,229
711,314
996,187
709,309
986,164
730,371
875,91
761,427
843,117
989,564
742,379
1036,567
741,482
1053,566
748,540
1008,859
963,561
1067,825
938,555
1260,563
953,558
1007,566
1297,462
1207,511
1356,234
1275,451
1380,166
1340,334
1459,42
1342,327
1474,38
1344,322
1489,40
1336,345
1536,96
1273,453
1574,373
1261,466
1569,423
1352,777
1213,507
1288,804
1206,512
1153,831
1179,528
691,770
881,531
651,747
838,506
474,469
702,267
460,434
701,238
390,236
703,202
390,236
703,202
752,414
480,245
770,439
503,267
927,551
633,455
959,560
658,496
1005,853
986,879
1011,873
1020,862
994,855
1012,842
1025,838
1080,562
1074,866
1060,565
1074,563
1382,541
1100,558
1402,488
1156,540
1432,394
1294,427
1496,185
1349,299
1566,70
1351,288
1578,70
1352,284
1585,73
1348,303
1618,143
1343,324
1625,188
1622,216
1579,506
1277,449
1556,556
1265,463
1344,783
1198,517
1219,834
1163,536
894,844
1009,566
835,834
968,561
504,587
735,382
504,587
735,382
457,507
717,341
392,322
703,276
389,287
703,270
708,303
428,148
711,317
448,135
752,414
547,160
765,434
567,175
1023,567
748,429
985,564
729,392
925,706
1174,531
973,753
1178,529
1332,614
1030,567
1332,614
1030,567
1101,558
1317,333
1153,541
1290,271
1258,268
1292,429
1161,146
1319,386
1132,143
1329,365
1113,146
1049,314
1355,254
1058,350
1355,251
1085,420
1355,257
1163,576
1344,320
1311,762
1082,562
1292,721
1031,567
1206,600
906,544
1175,563
872,527
1018,384
713,329
722,299
707,288
1008,369
706,300
964,337
714,144
946,340
723,116
873,366
741,75
854,376
741,77
749,463
715,141
731,485
710,162
614,687
752,414
606,706
788,461
884,639
1170,533
930,636
1209,510
1021,636
1271,456
1340,647
1339,339
1452,633
1335,349
1503,618
1328,367
1237,489
1541,422
1210,510
1478,349
1162,537
1285,249
1153,541
1219,235
1138,547
1147,236
1075,563
856,348
1045,566
777,417
1027,567
739,457
1006,566
705,502
722,742
772,442
774,720
754,415
873,663
737,388
920,629
735,383
838,506
1121,386
875,528
1132,362
916,547
1142,336
1005,566
1159,305
1317,390
1332,80
1323,378
1348,67
1328,367
1372,52
1333,354
1396,45
1335,347
1435,45
1301,416
1568,252
1294,428
1576,293
1285,439
1580,338
1270,457
1579,436
965,835
1092,560
907,834
1048,566
802,821
954,558
755,807
905,543
714,787
859,519
435,404
701,244
421,370
701,233
399,316
389,285
701,231
391,293
359,274
701,233
1014,566
742,422
1087,561
788,498
1120,553
814,541
845,587
1148,543
921,680
1183,526
1072,563
1338,404
1092,560
1324,352
1138,547
1293,287
