X,Y
863,643
890,665
934,694
984,713
1020,722
1080,727
1150,717
1202,698
1277,653
1326,603
1088,476
1081,458
1073,431
1070,415
1070,402
1079,377
1079,377
1084,372
1093,368
1099,369
1104,371
1112,379
794,539
794,539
787,522
779,501
778,495
778,495
780,504
784,516
794,544
742,888
707,901
669,899
670,856
686,820
720,765
764,714
794,683
841,639
886,601
890,571
948,562
1109,291
1111,295
1112,299
1114,312
1114,320
1113,331
1111,343
1105,368
1099,382
1092,396
1071,423
1056,435
1008,446
996,467
951,460
935,478
879,488
833,496
809,497
745,513
956,703
992,715
1052,726
1117,723
1162,712
1236,682
1300,629
1332,590
1363,533
1374,498
1380,467
1375,723
1349,683
1331,659
1305,626
1281,600
1265,585
1239,562
1220,547
1205,536
1180,521
1165,512
1152,504
1133,494
928,695
889,742
863,777
822,831
789,889
773,926
766,969
794,963
818,937
812,581
800,557
800,556
791,529
779,498
775,477
782,510
782,510
792,539
804,562
813,582
834,612
858,637
877,655
931,692
937,695
956,703
976,710
1011,720
1054,725
1086,725
1136,721
1182,707
1211,695
1251,673
1281,648
1299,632
1322,605
1336,585
1345,571
1357,547
1362,534
1333,590
1322,606
1314,615
1309,622
1301,630
1294,637
1288,643
1274,656
1254,671
1235,682
1181,1031
1094,1040
1038,1042
960,1038
528,675
513,649
496,596
492,562
488,532
488,484
490,459
493,437
504,401
515,386
528,374
556,357
572,351
589,348
623,348
1173,908
1223,942
1279,651
1236,681
1199,700
1149,718
1118,724
1101,725
1084,726
1079,726
1078,726
1083,726
1096,726
1107,725
1129,722
1130,414
1094,415
1032,443
1001,468
972,502
941,569
923,634
915,681
960,479
938,528
911,543
920,633
924,705
931,756
950,837
980,919
1006,971
1020,997
1020,997
1020,997
1020,997
1037,1019
1069,725
953,702
936,694
935,694
953,702
987,714
1010,719
1049,725
1092,725
1092,420
1044,432
939,696
949,701
965,707
980,712
1004,719
1022,418
974,407
924,458
891,490
861,518
820,588
793,653
779,701
765,780
761,861
768,915
971,709
1003,718
1057,726
1110,724
1144,718
1193,704
1233,683
1256,668
1288,643
1309,620
1321,606
1339,580
1348,565
1381,459
1379,468
1378,478
1376,489
1368,519
1361,538
1351,560
1323,605
1290,640
1263,663
1213,695
1157,715
1120,723
1063,726
1013,720
984,713
942,1027
856,1003
586,313
595,304
613,294
622,291
632,291
650,294
660,300
670,306
690,325
699,337
709,351
729,383
739,402
748,422
766,465
775,490
860,726
896,792
924,840
977,912
1092,1018
1149,718
1101,726
1229,302
1206,289
1194,285
1183,282
1161,283
1150,287
1140,292
1120,308
1111,320
1102,333
1088,366
1081,385
1075,407
1064,455
1059,483
1051,526
1027,585
959,704
923,691
879,658
854,633
838,616
817,589
808,570
800,559
793,540
789,532
787,527
785,521
816,373
799,393
767,441
750,471
736,505
715,581
705,644
686,675
703,775
719,857
740,910
789,980
867,1009
914,682
903,675
906,677
915,683
938,695
970,708
998,717
1368,342
1357,314
1352,303
1347,294
1342,284
1341,282
1341,282
1344,289
1348,296
1343,607
1300,629
1274,641
1251,655
1215,683
1187,706
947,697
843,625
823,599
795,546
766,526
777,489
772,436
772,411
775,388
785,347
791,329
799,312
800,308
793,324
782,359
777,381
773,403
772,452
776,481
781,509
806,568
825,584
831,622
838,1005
853,999
873,979
913,940
959,898
992,872
1040,837
1372,504
1362,535
1335,588
1317,611
1299,632
1262,665
1234,681
1208,694
1162,714
1117,721
1084,725
1028,723
975,710
941,694
891,666
851,631
836,609
619,747
697,672
712,665
766,620
831,582
868,588
878,548
955,517
982,502
1007,489
1044,458
1058,441
1069,425
1084,396
1072,417
1066,436
1035,476
1036,501
1019,525
983,576
949,614
926,621
890,699
853,754
830,793
797,857
777,918
772,954
789,980
832,952
838,616
891,666
916,683
958,704
930,400
918,435
882,483
864,514
851,553
836,636
835,709
838,761
853,845
881,929
907,982
963,1043
930,691
940,696
959,705
979,711
1018,722
1061,726
1092,725
1143,719
1189,705
1181,691
1211,692
1162,715
1114,722
1082,725
1034,724
998,715
977,709
948,700
936,695
932,692
936,695
955,702
979,710
990,1051
926,1006
894,957
862,874
843,791
836,739
835,661
822,614
842,572
871,499
887,470
905,445
942,409
933,692
910,678
805,567
817,589
813,960
776,973
766,955
774,903
801,841
824,801
861,742
899,691
892,682
960,614
967,593
997,569
1021,524
1031,472
1057,470
1068,436
1071,420
1029,541
1029,604
1006,659
985,713
969,752
947,818
929,885
921,931
910,999
940,1024
888,665
857,638
833,632
811,579
802,560
794,545
785,521
782,511
780,504
779,500
779,500
780,503
783,513
746,854
763,910
807,984
881,1018
930,691
910,680
908,679
912,681
931,692
956,702
970,687
1026,723
1074,726
1085,705
1159,716
1179,724
1195,697
1273,656
1296,634
1317,613
1349,563
1362,535
1371,506
1124,991
1158,932
1124,991
1096,1035
1080,1053
1012,720
937,696
899,678
850,631
825,600
777,666
741,636
719,622
701,609
666,586
647,576
629,568
596,555
579,551
563,548
533,546
518,547
505,549
492,555
491,558
492,562
506,574
1111,1005
1169,711
1151,718
1133,721
1132,721
1137,720
1153,717
1172,711
1188,705
1221,691
1241,678
1259,666
1291,641
1306,625
1318,610
1338,582
1346,568
1353,556
1362,536
1365,528
1367,521
1370,513
916,683
912,681
915,687
941,692
931,1038
879,978
855,925
833,841
823,759
815,715
831,632
824,593
853,546
869,510
907,454
930,434
954,418
849,629
899,999
856,1011
839,988
834,949
843,877
862,805
877,761
905,693
903,663
934,632
983,545
996,514
1015,495
1065,429
1086,406
1107,384
1149,347
1172,332
1195,319
1241,301
1302,630
1301,630
1303,628
1306,625
1318,611
1325,601
1331,593
1335,587
1332,592
1326,601
1248,947
1115,965
1115,965
1039,975
968,984
922,989
859,994
806,988
582,582
572,563
554,532
545,518
536,506
520,488
512,481
505,476
496,470
492,470
490,470
488,476
488,482
491,490
500,510
1092,726
1157,716
1158,711
1182,703
1250,673
1273,657
1293,639
1326,601
1340,580
1351,559
1368,518
1374,498
1376,478
1380,443
1382,426
1383,410
1382,386
1380,377
1378,369
1376,360
1374,358
1373,358
1374,364
1377,369
1118,724
1084,726
1058,726
1018,722
848,1022
720,939
662,875
619,811
604,785
566,705
551,667
540,630
522,565
514,536
509,509
504,485
505,484
504,484
505,484
504,484
500,442
499,380
500,361
500,361
500,361
500,360
500,361
502,349
502,345
507,355
995,1049
1041,725
1048,727
1078,736
1148,719
1172,688
1213,696
1274,657
1302,631
1327,601
1363,537
1373,505
1380,474
1384,421
1382,398
1379,378
1375,360
1366,331
1361,319
1354,302
1351,296
1347,290
1084,727
1051,725
1023,724
982,713
874,1022
685,878
646,808
626,765
605,690
591,646
587,607
579,537
580,333
582,320
586,303
588,296
591,291
595,288
597,288
600,291
606,301
609,309
1015,721
1053,726
1072,749
1087,722
1166,714
1197,703
1227,689
1280,652
1304,629
1325,604
1358,549
1370,518
1378,487
1384,428
1382,402
1379,378
1370,341
1364,327
1351,296
1347,290
1344,285
1342,281
1342,282
1344,284
1350,295
1354,304
788,533
781,508
776,485
759,753
710,732
689,719
627,691
596,685
566,659
517,626
498,608
491,588
494,547
504,528
524,512
572,489
599,481
628,475
685,471
715,472
745,475
802,483
830,489
856,494
904,507
926,512
947,518
980,531
995,539
1010,550
1041,575
1060,591
1082,608
1135,644
1166,663
1202,681
1277,715
1319,732
1361,748
1387,460
1384,481
1378,507
1349,575
1322,614
1290,649
1225,693
1194,708
1163,717
1105,728
1075,729
1045,728
985,717
955,705
925,691
871,654
846,630
825,605
794,551
783,523
776,496
769,447
768,424
770,403
775,368
779,355
783,342
788,326
791,321
792,317
792,318
790,322
787,329
781,346
778,359
774,375
769,410
768,432
754,765
716,820
693,850
674,877
659,900
675,888
700,872
749,843
792,824
824,810
897,785
935,775
971,768
1042,760
1079,759
1117,759
1195,762
1239,765
1284,766
1374,766
1388,447
1387,457
1387,457
1383,488
1376,513
1349,575
1330,604
1310,628
1273,662
1254,676
1236,687
1201,704
1181,712
1162,718
1121,726
1098,729
1073,729
1025,725
999,720
974,713
931,691
894,648
894,669
868,648
857,638
849,628
835,613
831,607
809,312
768,310
748,313
727,318
687,334
667,346
648,360
611,396
593,418
577,443
549,501
538,535
530,571
525,651
531,693
545,736
596,813
620,826
665,861
765,926
837,955
864,645
908,678
937,695
972,709
1053,725
1100,725
1148,717
1235,682
1270,658
1299,631
1339,577
1352,552
1364,528
1376,489
1380,474
1383,462
1385,449
1385,447
1384,448
